tconst	averageRating	numVotes
tt1808669	8.6	8
tt0859084	5.5	6
tt0295103	6.9	40
tt0212488	7.6	5
tt3170318	8.2	12
tt1775586	7.0	10
tt2161652	6.8	5
tt1134794	5.0	40
tt1802615	7.7	6
tt0994706	7.8	72
tt0270693	5.0	45
tt0850062	7.5	28
tt1197616	6.3	24
tt0802744	7.0	5
tt1494023	6.9	37
tt1317173	4.9	9
tt0285459	5.1	9
tt0643967	7.6	54
tt4322510	8.4	24
tt0091904	6.2	32
tt1687346	6.0	6
tt0727342	6.1	7
tt0142047	6.8	11
tt2426442	7.6	279
tt1508913	7.8	8
tt0593916	7.4	7
tt0127340	7.9	17
tt0030135	6.2	128
tt0043824	6.5	651
tt6897406	8.1	9
tt0355180	5.9	14
tt1091529	6.5	6
tt2693826	1.3	59
tt1943782	8.2	6
tt0117621	7.9	1881
tt0005802	1.8	9
tt0789316	7.7	19
tt0740050	8.0	47
tt1643313	9.3	7
tt0560002	5.8	32
tt0422627	6.7	47
tt0117354	6.5	13
tt0342722	7.1	9
tt6227654	3.4	33
tt1704570	6.5	10
tt5170154	4.2	25
tt2975866	7.8	12
tt3055180	7.4	171
tt7096048	9.0	10
tt0124114	4.5	6
tt1510919	5.9	15
tt0763223	8.5	40
tt0576837	7.8	12
tt0221831	4.5	95
tt2297965	6.4	8
tt1434449	5.1	33
tt10337224	8.8	38
tt3366166	5.8	9
tt2973122	8.1	8
tt6535698	5.8	13
tt0931027	7.4	49
tt2548274	6.1	26
tt7440612	5.6	14
tt0197850	6.8	11
tt3887074	2.6	5
tt5895526	8.0	13
tt2825212	7.8	8
tt3107734	6.6	8
tt8047826	8.6	36
tt7945458	6.3	7
tt0761072	8.2	424
tt3799140	8.3	6
tt0675407	7.6	10
tt1619510	8.5	311
tt0657045	7.8	5
tt0769885	6.5	10
tt0363941	8.7	98
tt0986948	7.8	14
tt10855380	7.6	15
tt9044878	7.8	9
tt0344690	4.1	96
tt1699114	7.0	12764
tt0079296	4.2	33
tt0706029	7.2	17
tt7997460	6.8	8
tt1754801	6.7	14
tt1353157	7.0	75
tt1817784	6.4	120
tt0728930	5.6	10
tt3686942	5.2	161
tt6664354	7.9	81
tt2070709	6.6	14
tt7083638	6.0	38
tt0635705	7.2	33
tt0386035	4.7	13
tt1233593	8.6	19
tt1052607	7.6	94
tt0103425	8.4	65
tt1223697	6.7	6
tt2769370	8.1	240
tt4259130	9.3	7
tt4449458	6.0	5
tt3530876	8.2	6
tt5094682	5.5	18
tt1974905	6.0	24
tt0772107	6.8	6
tt3449664	5.8	96
tt1849019	7.9	16
tt5372010	7.6	196
tt10539586	7.5	15
tt0773328	7.2	6
tt0782617	7.6	51
tt5244744	5.9	8
tt0425949	6.2	22
tt0047629	7.0	131
tt0102367	5.5	745
tt0607634	2.8	5
tt0863028	7.8	123
tt1596751	7.2	5
