country,men,women
United States,16.3,13.9
New Zealand,15.4,11.7
United Kingdom,18.5,11.6
Ireland,18.3,11.3
Australia,12.8,9.0
Estonia,15.3,8.8
Belgium,13.3,8.0
Greece,12.4,7.6
Canada,11.3,7.1
Iceland,11.9,6.9
France,9.8,6.8
Italy,9.1,6.8
Netherlands,13.9,6.5
Finland,13.6,6.1
Hungary,8.8,6.0
Spain,9.0,5.9
Israel,9.9,5.4
Slovenia,8.2,5.3
Poland,7.3,5.1
Czech Republic,8.4,4.4
Switzerland,8.5,4.4
Austria,9.1,4.3
Portugal,7.9,4.2
Norway,7.8,4.0
Slovak Republic,6.9,3.7
Germany,7.4,3.6
Sweden,6.6,3.5
Luxembourg,6.7,3.3
Turkey,10.8,3.3
Denmark,8.4,3.0
Mexico,2.2,1.6
Korea,3.6,0.5
