"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"1",4498,719,5251,"Die Macher",7.66508,4.3477,1986
"2",478,52,1053,"Dragonmaster",6.60815,1.9423,1981
"3",12019,1355,11870,"Samurai",7.44119,2.5085,1998
"4",314,30,523,"Tal der Könige",6.60675,2.6667,1992
"5",15195,1515,18682,"Acquire",7.3583,2.5089,1964
"6",73,6,106,"Mare Mediterraneum",6.52534,3,1989
"7",2751,258,4561,"Cathedral",6.50534,1.8217,1978
"8",186,15,460,"Lords of Creation",6.14538,2.4,1993
"9",1263,143,2263,"El Caballero",6.51776,3.1958,1998
"10",6729,661,7792,"Elfenland",6.74996,2.1649,1998
"11",28354,2569,39474,"Bohnanza",7.06751,1.6777,1997
"12",15378,1660,14413,"Ra",7.47505,2.356,1999
"13",67655,6426,95401,"Catan",7.26569,2.3603,1995
"14",1476,177,1609,"Basari",6.78156,1.8588,1998
"15",3629,418,3991,"Cosmic Encounter",6.9347,2.3708,1977
"16",877,91,1027,"MarraCash",6.84341,2.1538,1996
"17",724,71,1123,"Button Men",6.3087,1.5493,1999
"18",19371,1659,22500,"RoboRally",7.15355,2.434,1994
"19",1459,150,2402,"Wacky Wacky West",6.31166,1.8467,1991
"20",602,55,794,"Full Metal Planète",7.43592,3.1636,1988
"21",28,5,80,"Gateway to the Stars",5.35714,3,1981
"22",1709,339,3197,"Magic Realm",7.14384,4.4985,1979
"23",483,68,922,"Divine Right",6.95654,3.1324,1979
"24",667,51,789,"Twilight Imperium",6.66812,3.4902,1997
"25",308,19,622,"Battlemist",5.93231,3.2105,1998
"26",1944,262,2491,"Age of Renaissance",7.0993,3.8511,1996
"27",1201,114,1941,"Supremacy",5.57724,3.1404,1984
"28",4274,413,7170,"Illuminati:  Deluxe Edition",6.5289,2.6489,1987
"29",61,7,187,"Terrain Vague",6.66639,3.2857,1993
"30",1052,88,1276,"Dark Tower",6.6435,1.8182,1981
