estado,pt,psdb,pop,area
AC,36,64,790101,152581.4
AL,62,38,3321730,27767.7
AM,65,35,3873743,1570745.7
AP,61,39,750912,142814.6
BA,70,30,15126371,564692.7
CE,77,23,8842791,148825.6
DF,38,62,2852372,5801.9
ES,46,54,3885049,46077.5
GO,43,57,6523222,340086.7
MA,79,21,6850884,331983.3
MG,52,48,20734097,586528.3
MS,44,56,2619657,357125.0
MT,45,55,3224357,903357.9
PA,57,47,8073924,1247689.5
PB,64,36,3943885,56439.8
PE,70,30,9277727,98311.6
PI,78,21,3194718,251529.2
PR,39,61,11081692,199314.9
RJ,55,45,16461173,43696.1
RN,70,30,3408510,52796.8
RO,45,55,1748531,237576.2
RR,41,59,496936,224299.0
RS,46,54,11207274,281748.5
SC,35.4,64.6,6727148,95346.2
SE,67,33,2219574,21910.3
SP,36,64,44035304,248209.4
TO,59,41,1496880,277620.9
