date,usd_per_mbyte,Year,Month,Ref:,page,Sales Company,Manufacturer,Model,Size inches,Type,Access time msec,Size MBytes,Cost USD,kind
1955,6233.33,1955,,Phister,67,IBM,IBM,355-2,24,single head,,12,74800,disk
1960,3600,1960,,Phister,67,IBM,IBM,1405-1,24,single head,625,10,36000,disk
1964,3518.62,1964,,Phister,67,IBM,IBM,2311-1,14,removeable,97.5,7.25,25510,disk
1966,1047.26,1966,,Phister,67,IBM,IBM,2314,14,pack 20 surface,87.5,29.176,30555,disk
1970,259.7,1970,,Phister,67,IBM,IBM,3330-1,14,improved,38.3,100,25970,disk
1973,2550,1973,Jan,DEC,,DEC PDP8/e End User Price List,,RK05,,cartridge,,2.4,6120,disk
1974,185,1974,,Phister,67,IBM,IBM,3330-II,14,further improved,38.3,200,37000,disk
1975,11377.78,1975,,?,,North Star,Shugart,90K,3.5FH,floppy,,0.0879,1000,disk
1979,3009.42,1979,Jan,I.A.,124,,,180K,,floppy,,0.1758,529,disk
1980,3488.63,1980,Jan,I.A.,123,,,204K,,floppy,,0.1992,695,disk
1981,1020.83,1981,Jan,I.A.,141,,Lobo,2x8 FD,8,floppy,,1.2,1225,disk
1982,289.21,1982,Jan,I.A.,139,,,2x9.5MB,,HD,,19,5495,disk
1983,319,1983,Jan,I.A.,153,,,5MD HD,,HD,,5,1595,disk
1984,566.04,1984,Jan,I.A.,163,,,720K,3.5FH,floppy,,0.7031,398,disk
1985,31.39,1985,Jan,BYTE,476,,,?,,HD,,140,4395,disk
1986,24.45,1986,Jan,BYTE,450,,,?,,HD,,20,489,disk
1987,14.97,1987,Jan,BYTE,409,,,?,,HD,70,30,449,disk
1988,9.97,1988,Jan,BYTE,334,JDR,Seagate,ST-238,5.25HH,RLL,70,30,299,disk
1989,7.48,1989,Jan,BYTE,431,JDR,Seagate,ST-277,5.25HH,RLL,40,60,449,disk
1990,5.28,1990,Jan,BYTE,393,JDR,Miniscribe,M9380E,,,16.5,340,1795,disk
1990.17,4.08,1990,Mar,BYTE,335,,Micropolis,MC1568,,,16,660,2695,disk
1990.5,3.27,1990,Jul,BYTE,327,Compusave,Imprimis,,,,,702,2295,disk
1990.75,5.22,1990,Oct,BYTE,350,Nevada,Seagate,ST227R-1,,RLL,28,65,339,disk
1991,4.25,1991,Jan,BYTE,392,Nevada,Connor,,,,18,200,849,disk
1991.17,3.07,1991,Mar,BYTE,357,TP Enterprise,Maxtor,8760E,,ESDI ?,,650,1994,disk
1991.5,2.8,1991,Jul,BYTE,321,Computerlane,Maxtor,XT8760E,,,,676,1895,disk
1991.75,2.79,1991,Oct,BYTE,305,Nevada,Seagate,ST1144A,,IDE,20,125,349,disk
